category,artifact,path,kind,size_bytes,git_policy,notes
events,validated_events,experiments/test_004_events/video_836_real_events_120_180/events.json,json,3054,include,Eventos Nivel 1 recalculados con ByteTrack.
events,event_summary,experiments/test_004_events/video_836_real_events_120_180/summary.md,markdown,1442,include,Resumen de posesion colision zona y descarte de shot.
events,event_metrics,experiments/test_004_events/video_836_real_events_120_180/event_metrics.csv,csv,62,include,Conteo de eventos generados.
events,ball_speed_diagnostic,experiments/test_004_events/video_836_real_events_120_180/ball_speed.csv,csv,2751,include,Diagnostico de velocidad para umbral de shot.
events,nearest_robot_distance,experiments/test_004_events/video_836_real_events_120_180/nearest_robot_distance.csv,csv,5030,include,Diagnostico de posesion por distancia.
tracking,bytetrack_tracks,experiments/test_003_tracking/video_836_real_tracking_120_180/tracks_bytetrack.csv,csv,30385,include,Tracks recomendados para eventos Nivel 1.
tracking,tracking_metrics,experiments/test_003_tracking/video_836_real_tracking_120_180/metrics.csv,csv,339,include,Comparacion simple vs ByteTrack.
tracking,tracking_summary,experiments/test_003_tracking/video_836_real_tracking_120_180/summary.md,markdown,1316,include,Resultado de tracking real.
tracking,tracking_heatmap,experiments/test_003_tracking/video_836_real_tracking_120_180/heatmap_bytetrack.png,png,22726,include,Heatmap ligero de tracks ByteTrack.
segmentation,temporal_summary,experiments/test_002_sam3_segmentation/video_836_temporal_stability_120_180/summary.md,markdown,643,include,Resumen estabilidad temporal.
segmentation,temporal_stride1_metrics,experiments/test_002_sam3_segmentation/video_836_temporal_stability_120_180/stride_1/metrics.csv,csv,1117,include,Metricas por frame stride 1.
prompts,prompt_summary,experiments/test_002_sam3_segmentation/video_836_prompt_comparison_120_180/summary.md,markdown,2074,include,Seleccion de prompts base.
prompts,prompt_comparison,experiments/test_002_sam3_segmentation/video_836_prompt_comparison_120_180/comparison.csv,csv,803,include,Comparacion cuantitativa de prompts.
more_videos,multi_clip_summary,experiments/test_006_more_copafutmx_videos/summary.md,markdown,2586,include,Expansion a video_480 video_595 video_667.
more_videos,multi_clip_metrics,experiments/test_006_more_copafutmx_videos/metrics.csv,csv,927,include,Metricas por clip adicional.
benchmark,msi_benchmark_summary,experiments/test_007_msi_benchmarks/video_836_sam3/summary.md,markdown,1282,include,Resumen benchmark SAM 3.
benchmark,msi_benchmark_metrics,experiments/test_007_msi_benchmarks/video_836_sam3/metrics.csv,csv,406,include,Metricas single vs multi-frame.
benchmark,msi_benchmark_json,experiments/test_007_msi_benchmarks/video_836_sam3/benchmark.json,json,2547,include,Snapshot completo de benchmark y entorno.
source_video,video_836,/home/guillermo/Vídeos/CopaFutMX/17 Abril/video-836_singular_display.mov,video,13706971,exclude,Video completo local fuera de Git.
source_checkpoint,sam3_checkpoint,checkpoints/sam3/sam3.pt,checkpoint,3450062241,exclude,Checkpoint local ignorado por Git.
